"id","region","country","documentType","displayName","format","widthMm","heightMm","digitalOnly","headHeightMinMm","headHeightMaxMm","headHeightBasis","eyeLineMinMm","eyeLineMaxMm","allowedBackgrounds","prohibitedBackgrounds","glassesRule","editingRule","officialSource","lastVerified","verificationStatus"
"us","Popular standards","United States","Passport / Visa","United States — Passport / Visa","2 x 2 in","50.8","50.8","false","25","35","Officially published","28","35","white | off-white","","Not allowed, except with a signed doctor's note for a documented medical reason (frames must not cover the eyes, and there must be no glare or shadow on the lenses).","Original, unedited photo required","https://travel.state.gov/en/passports/apply/help/photos.html","2026-09-03","Re-verified 2026-09-03 against travel.state.gov (mirrored at adoption.state.gov, since travel.state.gov blocks automated requests) and the official Photo Composition Template."
"us_opr","Popular standards","United States","Passport online renewal (digital photo)","United States — Passport online renewal (digital photo)","Digital square image","50.8","50.8","true","25","35","Officially published","28.6","34.9","white | off-white or cream","","Not allowed","Original, unedited photo required","https://travel.state.gov/en/passports/renew-replace/online/upload-digital-photo.html","2026-07-15","Official source recorded; source was unavailable during the later rule audit"
"schengen","Popular standards","International","Schengen Visa / EU","Schengen Visa / EU","35 x 45 mm","35","45","false","32","36","Officially published","","","any plain light color | light gray | gray","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://www.sachsen.de/en/download/plakat_Fotomustertafel.pdf","2026-07-22","Dimensions and published rules checked against the official source"
"uk","Popular standards","United Kingdom","Passport","United Kingdom — Passport","35 x 45 mm","35","45","false","29","34","Officially published","","","off-white or cream | light gray","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Original, unedited photo required","https://www.gov.uk/photos-for-passports/photo-requirements","2026-07-22","Dimensions and published rules checked against the official source"
"ca","Popular standards","Canada","Passport","Canada — Passport","50 x 70 mm","50","70","false","31","36","Positioning guide; not published for this document","","","","","Not stated in reviewed source","Not stated in reviewed source","https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/photos.html","2026-07-15","Official source recorded; source was unavailable during the later rule audit"
"cn","Popular standards","China","Passport / Visa","China — Passport / Visa","33 x 48 mm","33","48","false","30","34","Officially published","","","white | light grey | light blue","","Allowed with clear, untinted lenses; frames must not obscure the eyes or show glare, and thick frames are discouraged","Original, unedited photo required; no technical processing of scars, moles or hairstyle","https://www.nia.gov.cn/n741445/n763221/index.html","2026-09-03","Head height, background options and the digital file spec checked directly against the NIA poster (出入境证件相片照相指引) hosted on nia.gov.cn; verified 2026-09-03"
"cn_visa","Popular standards","China","Visa","China — Visa","33 x 48 mm","33","48","false","28","33","Officially published","","","white | close to white","","Allowed if the lenses are clear and untinted, there is no glare, and the frames are not thick-rimmed or covering the eyes","Not stated in reviewed source (natural, undistorted image required)","https://us.china-embassy.gov.cn/eng/lsfw/zj/qz2021/201612/t20161206_4410998.htm","2026-09-03","Ministry of Foreign Affairs visa photo poster as published by the Chinese embassies in the US and Canada; COVA digital upload is JPEG 354-420 x 472-560 px, 40-120 KB"
"in","Popular standards","India","Passport","India — Passport","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","white","dark backgrounds","Allowed only with clear, untinted lenses; no glare or eye obstruction","Original, unedited photo required","https://www.passportindia.gov.in/AppOnlineProject/pdf/ApplicationformInstructionBooklet-V3.0.pdf","2026-09-03","Dimensions and published rules checked against the official source"
"in_oci","Popular standards","India","OCI card","India — OCI card","2 x 2 in","50.8","50.8","false","25","35","Officially published","","","any plain light color","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Original, unedited photo required","https://ociservices.gov.in/Photo-Spec-FINAL.pdf","2026-07-22","Dimensions and published rules checked against the official source (split from the former combined India record on 2026-09-03)"
"ar","Americas","Argentina","DNI","Argentina — DNI","4 x 4 cm","40","40","false","25","31","Positioning guide; not published for this document","","","white","","Not allowed for the foto 4x4 needed at a consulate without the digital system or for an emergency passport abroad (""sin anteojos"").","Original, unedited photo required","https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-169-2011-178525/actualizacion","2026-09-03","Corrected 2026-09-03: RENAPER captures the photo, fingerprints and signature on site for a domestic DNI. A foto 4x4 print is required only at a consulate without the digital system or for an emergency passport, where glasses are banned and the print must be white with a matte or semi-matte finish."
